"","text","favoriteCount","replyToSN","screenName","retweetCount","date.stamp","weekday"
"118"," Studying the art of BL. <U+2714><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>",1,"Alex_Janson7","budlight",1,2017-10-20 19:08:04,"Fri"
"119","WhatZombiesAreThinking ",68,NA,"budlight",26,2017-10-20 19:01:38,"Fri"
"120"," Cold Bud Liiight, it's up to youuu... <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6> We dig your style, Chad.",2,"cstorff3","budlight",1,2017-10-20 18:58:52,"Fri"
"121"," Spuds! One of our more famous executives. <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>",0,"cstorff3","budlight",0,2017-10-20 18:41:12,"Fri"
"122"," You are the Dilly to our Dilly.",0,"cstorff3","budlight",0,2017-10-20 18:38:25,"Fri"
"123"," Thine allegiance to the crown shall not go unnoticed. Dilly Dilly!",3,"mojorizn1","budlight",1,2017-10-20 18:37:43,"Fri"
"124"," Please follow Sir Brad... for some ice-cold Bud Lights! DILLY DILLY!",1,"jstats","budlight",0,2017-10-20 18:36:33,"Fri"
"125"," Round up thy squad for some Friday BLs, Sir Ty. Dilly Dilly!",1,"Ty_Caron8","budlight",0,2017-10-20 18:34:22,"Fri"
"126"," Next up: World Series BLs. <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>",1,"Rackson_Sawyer","budlight",1,2017-10-20 18:29:39,"Fri"
"127"," Round up your squad, Mal. Fridays are for BLs with friends!",7,"mallory_peck","budlight",0,2017-10-20 18:26:57,"Fri"
"128"," Those Friday feels. <ed><U+00A0><U+00BD><ed><U+00B2><U+0099>",0,"BrittneyEndsley","budlight",0,2017-10-20 18:22:11,"Fri"
"129"," See you tonight?",2,"jacobgzellar","budlight",1,2017-10-20 16:26:05,"Fri"
"130"," A DillyDilly is well-deserved for this choice of beverage.",1,"TheBrandAnalyst","budlight",0,2017-10-20 16:24:58,"Fri"
"131","  ",0,"Nero90057743","budlight",0,2017-10-20 16:23:48,"Fri"
"132"," Madam Dorissa! Thou art a true friend of the crown, DillyDilly!",2,"DorissaMc","budlight",2,2017-10-20 16:21:23,"Fri"
"133","  There's plenty of DillyDilly to go around!",5,"Insta_Gremm","budlight",0,2017-10-20 16:13:51,"Fri"
"134"," We'll just be over here... ",2,"CameronPGibson","budlight",1,2017-10-20 16:11:48,"Fri"
"135","  Dilly Dilly to the people of LA! ThisTeam WorldSeries",3,"ColemanESPN","budlight",1,2017-10-20 14:19:41,"Fri"
"136"," And we miss you in the NFL! DillyDilly",0,"Bighugh53","budlight",0,2017-10-20 14:15:24,"Fri"
"137"," You've left us no choice... to the Pit of Misery! Dilly Dilly!",1,"thepozr","budlight",0,2017-10-20 02:48:42,"Fri"
"138"," Back 'atcha. DillyDilly",1,"PattySheils43","budlight",1,2017-10-20 02:45:41,"Fri"
"139"," Dilly Dilly!",3,"AaronVanWormer","budlight",2,2017-10-20 02:43:38,"Fri"
"140"," BRB thinking of a DillyDilly TD dance.",1,"Marti_L","budlight",0,2017-10-20 02:43:21,"Fri"
"141","   ",44,"FSKPart3","budlight",5,2017-10-20 02:35:07,"Fri"
"142"," By the Game of Thrones crowd, you mean everyone, right? DillyDilly",4,"TheMichaelGrey","budlight",1,2017-10-20 02:06:26,"Fri"
"143","    Sir Brent, you are a true friend of the crown! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",2,"brentg05","budlight",0,2017-10-20 02:03:52,"Fri"
"144"," Let it happen.",0,"chelseakleen","budlight",0,2017-10-20 02:01:25,"Fri"
"145"," Please follow Sir Brad.",1,"Tone_Clem717","budlight",0,2017-10-20 01:52:57,"Fri"
"146"," Sounds like we have no choice, but to send you to the Pit of MIsery. Dilly Dilly!",1,"Ldoc32","budlight",0,2017-10-20 01:49:32,"Fri"
"147"," Send us a DM!",0,"ContessaWeiner","budlight",0,2017-10-20 01:18:01,"Fri"
"148"," They made that look easy...",1,"bcraaum","budlight",0,2017-10-20 00:57:41,"Fri"
"149"," That deserves a cold one. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"benhanika","budlight",0,2017-10-20 00:55:56,"Fri"
"150"," It's keeping us on the edge of our seats!",1,"mom2twinz3","budlight",0,2017-10-20 00:54:54,"Fri"
"151"," Grab a cold one, this game just keeps getting better and better.",1,"JoeJeremiah1","budlight",1,2017-10-20 00:53:54,"Fri"
"152"," Right there with you. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"PhezzoDaBeast","budlight",0,2017-10-20 00:50:28,"Fri"
"153"," Good call!",1,"patscutie12","budlight",0,2017-10-20 00:49:28,"Fri"
"154"," After a touchdown, we always go for <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"PhezzoDaBeast","budlight",0,2017-10-20 00:47:21,"Fri"
"155","    Please follow Sir Brad...for some ice cold Bud Lights!",1,"alphaotis","budlight",1,2017-10-20 00:46:11,"Fri"
"156"," We�ll cheers to that!",1,"sweetiegrl74","budlight",1,2017-10-20 00:45:18,"Fri"
"157"," Toooouchdown!",1,"MrDiaz4","budlight",1,2017-10-20 00:44:11,"Fri"
"158"," Incredible grab. We'll cheers to that. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"talvarez818","budlight",1,2017-10-20 00:43:06,"Fri"
"159"," They�re on <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>.  Touchdown",2,"campbell1821","budlight",1,2017-10-20 00:42:15,"Fri"
"160"," That catch was <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>.",1,"kpyanito","budlight",0,2017-10-20 00:41:34,"Fri"
"161"," Nothing beats being there IRL. Cheers! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"Ldyr8rLIVE","budlight",1,2017-10-20 00:39:40,"Fri"
"162"," We like where your head's at.",1,"mikemooney6969","budlight",1,2017-10-20 00:38:25,"Fri"
"163"," Grab a cold one, they're just getting started.",0,"holistic_pickle","budlight",0,2017-10-20 00:36:01,"Fri"
"164"," The home team advantage is real!",1,"sevenaj1","budlight",1,2017-10-20 00:32:02,"Fri"
